 Province ,Suiside,Divorce,Addiction,Alcoholism,Depression,Pauper,Schizophrenia,Anxiety,
Krabi ,0.0810375,1.041125844,0.453260592,1.701787495,1.618002961,18.85809978,5.16167668,3.152221389,
Bangkok,0.027388334,2.897614172,0.283728823,0.535415085,1.157112375,98.3,3.334037434,0.959844764,
Kanchanaburi ,0.051483917,2.80158313,3.972842234,9.805540957,6.111569938,91,8.795169092,4.813746206,
Kalasin ,0.070294348,1.666099379,2.520730667,3.953748785,5.671644,266.2091384,13.31152975,9.41450974,
Kamphaeng Phet ,0.074118146,1.14121639,2.352489659,3.110931513,4.537452001,39.51810534,4.517145659,4.162800001,
Khon Kaen ,0.058854982,1.721230602,4.167599,9.193037123,3.273669558,31.66523137,9.411244744,10.42732603,
Chanthaburi ,0.10926594,1.525955371,2.946412592,4.391360455,3.68301574,33.3,7.759765643,4.786978514,
Chachoengsao ,0.053979726,2.333912905,2.136460748,3.610959589,4.736010728,7.7,6.804286558,3.488794945,
Chonburi ,0.06368461,19.63912055,4.924943139,11.3297953,8.645943897,35.5,19.3146323,15.61182714,
Chainat ,0.075579612,0.474569658,0.745250129,5.562132154,1.851700497,82.4,2.405365098,4.090966215,
Chaiyaphum ,0.043260752,1.037582102,3.157358958,5.102740907,3.725832279,31.65416353,6.325533104,4.420708111,
Chumphon ,0.099110975,1.954468418,2.154672587,5.873316352,2.614547509,20.96379503,7.433323092,5.946658473,
Chiang Mai ,0.1140201,1.812319486,3.991560798,7.635917532,6.869496708,134.8371114,8.82069782,5.791020874,
Chiang Rai ,0.111772154,2.062196236,11.40200159,13.87527097,8.074917149,109.6442327,7.23600504,8.90141013,
Trang ,0.06082801,1.481707926,1.291425434,4.295393292,5.221850669,73.54760187,7.087242963,5.859764923,
Trat ,0.118584466,1.833498287,1.75596229,5.550665213,2.613419201,22.3,5.22227746,3.525607403,
Tak ,0.099579699,1.412904402,4.379627873,3.866698482,6.235943762,136.9049012,6.686870699,5.413002102,
Nakhon Nayok ,0.046508203,1.914587685,2.817621958,5.298059445,4.584933668,12.5,5.736011689,5.31356218,
Nakhon Pathom ,0.049995,1.753158018,1.02878601,3.534091035,2.929707029,17.3,5.131709051,3.98071304,
Nakhon Phanom ,0.047497112,1.036554615,2.506171132,2.008848433,3.460304289,156.8054377,11.82258991,9.83050516,
Nakhon Ratchasima ,0.069159604,1.737350062,4.838892322,6.832360919,7.821495261,338.5273905,11.35471505,7.714335874,
Nakhon Si Thammarat ,0.069526569,1.389887618,1.057061357,3.597999952,4.221807781,218.0987139,7.325396575,7.729036935,
Nakhon Sawan ,0.07236468,1.614578194,2.227328475,2.945336472,8.630192988,80.94506539,9.607586074,9.822800513,
Nonthaburi ,0.03134411,2.208934886,1.444303579,2.291419385,5.219619103,11.5,6.615256828,4.706565519,
Narathiwat ,0.012630521,0.426911598,0.058100395,6.951838562,1.245369335,236.426621,2.988381184,1.183479784,
Nan ,0.121315309,1.631481741,5.325323734,6.212180475,6.475727526,78.73331934,6.540568467,9.619467342,
Bueng Kan ,0.073504829,1.462983205,2.254938457,6.482651675,3.746375145,19.50612005,7.867387804,3.108542921,
Buriram ,0.0623315,1.154077173,6.583213812,5.981305587,4.946224915,261.828548,8.210128932,3.84188702,
Pathum Thani ,0.007103817,4.557808728,1.33551752,2.185133985,8.40665656,0,8.341301448,4.635950711,
Prachuap Khiri Khan ,0.032359172,0.940213732,1.196390514,3.984672539,1.735710055,28.9,3.548722577,2.044021059,
Prachinburi ,0.075422744,2.398443275,2.081667748,3.524127736,4.261385063,37.9,8.760351772,7.040713197,
Pattani ,0.057673334,0.675601914,0.469625721,6.185465084,3.260603139,215.5569018,9.289526317,8.537713211,
Phra Nakhon Si Ayutthaya ,0.055539648,2.70539796,1.429220273,6.180945704,4.746788574,21.6,5.367598416,5.15531354,
Phayao ,0.107144883,1.768941009,4.796309174,7.088369318,6.840465471,55.42060411,7.695523655,7.044250837,
Phang Nga ,0.04564126,1.757188498,2.27065267,6.446827932,5.222120797,9.218042085,8.591967138,6.675034231,
Phatthalung ,0.082066237,1.645141774,1.328327929,3.301734651,4.425851246,95.51077035,6.198863669,8.324951762,
Phichit ,0.062717899,1.512608142,2.143476416,1.621442143,5.094906938,15.81022443,8.691962886,5.59849477,
Phitsanulok ,0.0601707,2.108288745,4.918954696,5.008053617,5.504461889,44.80135704,6.571334679,5.266093348,
Phetchaburi ,0.046054876,1.791953376,0.757812058,2.612567538,3.964906184,20.2,5.719178297,3.408060859,
Phetchabun ,0.066439029,1.497898111,3.625960346,3.409530175,5.072519207,50.73733672,7.410971701,5.077552467,
Phrae ,0.118261335,1.590949661,5.103088183,6.792217065,4.786237058,67.71122073,8.401017494,9.005712246,
Phuket ,0.025757197,2.699354267,1.081802283,2.85904889,1.973001306,0.38460708,4.100545795,3.848125262,
Maha Sarakham ,0.052973254,1.216307453,12.28875617,22.79823422,3.279148273,92.88820441,7.621916385,4.050895871,
Mukdahan ,0.083284511,1.476146167,2.952292334,2.960907973,8.469173243,48.79300327,14.19857325,12.80571159,
Mae Hong Son ,0.14552801,1.087179838,5.037837283,4.049102863,8.890049308,66.19783063,6.416073141,8.145288317,
Yasothon ,0.044493387,1.262499861,3.763398998,3.754129542,6.952091745,73.48931061,10.36510532,7.473035153,
Yala ,0.011463464,0.750856894,0.334351034,5.030550132,2.791353491,58.69322015,5.175754009,5.64193488,
Roi Et ,0.042846442,1.224949177,14.25103271,17.58922963,3.535596595,80.70665029,12.01077588,6.561626573,
Ranong ,0.045382861,1.554362995,1.628110144,3.01228741,6.954923473,43.29484229,9.360215115,9.802698011,
Rayong ,0.058565656,4.95094055,1.089892568,1.172741544,2.176928274,16.9,4.052457686,7.727809687,
Ratchaburi ,0.041355076,1.718008009,1.167394713,2.006311966,1.934235977,68.4,5.591206257,4.31746992,
Lopburi ,0.115417496,2.060068096,1.978202198,3.222295439,4.678434778,80.6,6.339909894,5.5105144,
Lampang ,0.089194131,3.473615881,7.445232326,7.014127359,9.110189438,63.55928821,14.9994797,18.48052843,
Lamphun ,0.095217188,1.408420902,3.101170907,2.885609774,6.476091229,12.76592907,4.320479895,4.296675598,
Loei ,0.081661882,1.669357321,4.744241267,5.039480379,5.56557135,19.32890378,9.893651103,12.15662749,
Sisaket ,0.066660454,0.959774497,5.443030139,4.516585869,3.839097989,86.44407446,9.828335727,12.27164543,
Sakon Nakhon ,0.05406202,1.29748847,20.64558771,23.667829,3.990997802,72.6805675,8.55836649,5.754117215,
Songkhla ,0.040364956,1.655671347,1.285305173,6.694209258,4.304178977,47.97433996,6.757235241,7.67713134,
Satun ,0.0345713,1.178567051,0.392855684,5.748264364,3.108274169,28.85181255,5.886549564,6.36111923,
Samut Prakan ,0.025657971,3.117054776,0.838160401,2.447614975,2.102398632,0.8,4.763052521,3.943552463,
Samut Songkhram ,0.057165723,1.678593515,0.680791797,1.200480192,3.190886744,6.2,6.309017113,5.612634664,
Samut Sakhon ,0.039383,2.151061934,1.676590557,1.92226546,4.609686343,4.9,5.635519715,5.356087955,
Sa Kaeo ,0.073559226,1.614714716,3.270694363,3.78202069,3.516489826,118.7,8.753547887,6.265093097,
Saraburi ,0.063005322,3.200670377,2.005144385,2.128004763,3.940982915,11.2,6.465921209,4.915990278,
Sing Buri ,0.061886196,1.923232554,2.35167545,4.698590423,7.050265873,20.6,7.797660702,9.725653732,
Sukhothai ,0.051740829,1.47878626,2.480221651,9.12307641,5.948526221,94.77133916,6.404179324,4.352905832,
Suphan Buri ,0.063669034,1.370063292,1.583472462,4.462727676,3.896780705,90.8,5.573398606,4.735089655,
Surat Thani ,0.058054112,1.416950367,1.974556531,6.401003404,2.993728722,28.79932992,6.397419817,5.670668339,
Surin ,0.076286015,1.41605916,5.637536534,6.280246213,5.874023181,149.8462033,10.80972837,6.73700873,
Nong Khai ,0.038703735,1.724251373,1.908094112,1.970020087,4.503179512,15.83408897,7.734941344,5.103087397,
Nong Bua Lamphu ,0.048946572,1.501680825,2.997488062,1.687677798,5.143305773,55.75523714,6.668480953,5.200083797,
Ang Thong ,0.063687676,1.247216981,1.817752409,4.107855079,7.724784324,42.8,6.32365546,6.498796568,
Amnat Charoen ,0.060405355,1.566985986,4.11822394,10.71306746,4.395377924,39.02883464,12.78106257,8.04101879,
Udon Thani ,0.060945687,1.728064155,2.152779409,3.271386698,2.79397882,104.5374816,6.400566795,7.18524251,
Uttaradit ,0.072268576,1.635897773,3.635328384,5.054420428,7.261896941,45.30308209,7.618859908,4.85075444,
Uthai Thani ,0.094034568,1.531853452,5.25076896,8.614779807,7.935304217,22.03766996,7.986871561,7.189094417,
Ubon Ratchathani ,0.061330253,1.313220597,4.054252527,5.818842268,3.679277207,180.9951264,11.01147037,12.42206619,
